id;name
419c6cc3-1c3e-4569-8aa3-8c7419f486e1;Kansas
699c2225-a9cd-4b76-a2cd-c7372bf4192f;Granite Metal Auto
b38c3211-c8c0-4624-811d-037c0c8573c4;Integration Tasty fe
6f008559-b540-49f2-aa9c-54499994d7df;Kansas
a117a977-3246-4207-9c63-9c9095e583ff;Unbranded deposit
6d814a04-43a1-4583-a4a9-72a98111c466;Money Orchard digita
b571d7c5-8741-45c2-a8a4-d8bb10105289;Generic
4eef3d31-6338-49ba-9c05-43051a61a752;Towels Electronics
a7756af9-b866-4dd6-82e0-c0cc921c9aa5;card bus
55f51f44-9d2e-4c1f-886c-78ba070a74c3;Practical
